layer,code,name,region,description,enabled,version
5,5010,CCM活性区波浪,活性区,,true,2026.1
5,5011,折皱-活性区,活性区,,true,2026.1
5,6011,折皱-交界区,交界区,,true,2026.1
5,5013,交界区波浪,交界区,,true,2026.1
5,5012,交界区翻折,交界区,,true,2026.1
5,5032,CCM吸风辊凹坑,CCM,,true,2026.1
5,5020,颗粒/纤维/残留,活性区,,true,2026.1
5,5020,颗粒/纤维/残留,交界区,,true,2026.1
5,5021,切割残留,CCM,,true,2026.1
5,5030,CCM擦痕,CCM,,true,2026.1
5,5075,CCM催化层网状裂纹,CCM,,true,2026.1
5,5031,CCM涂层缺失,CCM,,true,2026.1
5,5050,背光图白点,CCM/交界区,,true,2026.1
5,5040,CCM焊接宽度异常,CCM,,true,2026.1
5,5070,CCM原料标记,CCM,,true,2026.1
5,5099,CCM未预贴好,CCM,,true,2026.1
5,5061,CCM假料,CCM,,true,2026.1
5,5060,接头,SG/CCM,,true,2026.1
5,5510,SG窗口毛边,SG,,true,2026.1
5,5520,交界贴合不均匀,交界区,,true,2026.1
7,7010,SG折皱,SG,,true,2026.1
7,7020,SG气泡,SG,,true,2026.1
7,7030,SG污染,SG,,true,2026.1
7,7040,SG表面损伤,SG,,true,2026.1
7,7050,SG边缘切割不均匀,SG,,true,2026.1
7,7510,GDL裂缝,GDL,,true,2026.1
7,7520,GDL脱落,GDL,,true,2026.1
7,7521,GDL缺失,GDL,,true,2026.1
7,7540,胶水溢出,GDL,,true,2026.1
7,7550,MEA表面异物,MEA,,true,2026.1
7,7560,GDL边缘切割不均匀,GDL,,true,2026.1
7,7575,GDL原料发现,GDL,,true,2026.1
7,7098,SG接头,SG,,true,2026.1
7,7599,多层GDL,GDL,,true,2026.1
